stem_question,stem_answer
altan khan kiminle barıştı,ming hanedanı
orta ming hanedanı tartışması esas neye odaklanmıştı,ordos bölgesinin kurtarılması
p christiaan klieger ming mahkemesinin yüksek tibetli lamasları desteklediğine inandı,sınır bölgelerinin stabilize ticaret yollarının korunmasına yardımcı olmak
yongle i mparatoru kiminle sağlam ilişki kurmayı başaramadı,beşinci karmapa
zhengde i mparatoru kimin arkadaşlığından zevk aldı,lamas şirketi
tibet in çin in ayrılmaz parçası olmadığını söyledi,kategori 20 yüzyılın başlarında çinli yazarlar
josef kolmaš tibet in hükümete tabi olduğunu belirtti,çin merkez hükûmeti
p christiaan klieger dini başrağa ortak rol oynadığını iddia eden kimdi,tibet lamaları moğol hanları
p christiaan klieger eski imparatorluk kollarını kimin üstlendiğine inanıyor,çin cumhuriyeti komünist halefleri
p christiaan klieger nerede çalışıyor,san francisco daki kaliforniya bilimler akademisi
tibet i yönetme hakkını kimin kazandığı söylendi,ming hanedanı
neo konfüçyüs kuruluşu elçiliği reddetti,portekiz büyükelçiliği
altan khan amdo buluşmak kimi davet etti,gelug sönum gyatso un üçüncü hiyerarşisi
altan khan pratiği sona erdirdi,moğol yerli şamanizm uygulamaları kan kurban
moğol prensleri ünvan istediler,onların dini lider taahhüt
1653 te qing imparatoru kime unvan verdi,beşinci dalai lama
1713 te qing imparatoru kime unvan verdi,beşinci panchen lama
dördüncü dalai lama unvan verildi,vajradhara nın efendisi
moğollar neyi geri almaya çalışıyorlardı,tibet in eski köleleri
moğolların eski tibet i geri alma şansını yakalamalarına yardım eden endişe eksikliği,ming mahkemesi
güshi khan yönetim yetkisini kime verdi,naip sonam ın chöpel
çin ming hanedanlığı kime düştü,li zicheng in isyanı
tibetl e yardım etti,kangxi imparatoru
ipod un en küçük versiyonu hangisidir,karıştır
ipod ürünü en küçük veri depolama kapasitesine sahiptir,ipod karıştır
2015 yılının temmuz ayında ipod touch nesli sunuldu,altıncı
ipod touch ın en son nesli hangisi,altıncı
kane kramer patent almak istediği cihaza dedi,i xi
1981 den önceki patentli müzik çaların adı neydi,i xi
vinnie chieco nun mesleği neydi,freelance metin yazarı
film ipod un adını ilham verdi,2001 uzay odyssey
film ipod adına ilham verdi,2001 uzay odyssey
3 nesil ipod larda ses eksikliği bulundu,zayıf bas tepkisi
3 nesil ipod ların bas yanıt sorunlarını tamamen azaltabilecek cihaz örneği nedir,harici kulaklık amplifikatörü
3 nesil ipod un zayıf basları bileşen suçlanıyordu,küçük boyutlu dc bloke kapasitörler
2007 öncesi ipod larda bas bozulmasına olacak dört ses profilini adlandırın,r b rock akustik bas güçlendirici
eq ayarlarının bas bozulması ilgili sorunlar olduğu biliniyordu,r b rock akustik bas güçlendirici
6 nesil ipod lar pazarlarda oyuncunun en yüksek hacmini sınırladı,eu
ipod nesilde usb uyumluluk sağlamaya başladı,üçüncü nesil
aygıtla usb bağlantıları ipod özelliği izin verilir,30 pimli dok kon
nesil ipod 30 pinli dok konektörünü ilk ekleyendi,üçüncü nesil
ipod modeli kulaklık jakını veri portunu birleştirdi,karıştır
çevre birimleriyle iletişim kurmak ipod un kısmına ihtiyaç duyuluyor,dock konektörü
dock konektörünü kullanan üçüncü tarafların durumu nedir,ödeme telif ücretleri
ipod çevre birimlerinin çoğunluğu tür şirketler tarafından üretilmektedir,üçüncü şahıslar
lightning konektörüne sahip ilk ipod touch nesli neydi,beşinci nesil
ipod aksesuarının iş egzersizi örneği nedir,nike ipod adım sayacı
ipod ilk çevre birimlerinden bazılarını yapan altı şirket nelerdir,griffin teknolojisi belkin jbl bose canavar kablo sendstation
2007 yılında havayolları uçaklarına ipod bağlantıları dahil etmek anlaşma yaptı,birleşik continental delta emirates
uçaklarda ipod ları kullanan kişiler cihazın arayüzünü nerede görebilir,bireysel koltuk arkasındaki ekranlar
havayolları ilk ipod lar koltuk bağlantıları kurmayı kabul etti,birleşik continental delta emirates
apple tarafından geliştirilen ses formatının adı nedir,elma kayıpsız
ipod tarafından desteklenen ses formatlarının örnekleri nelerdir,mp3 aac m4a korumalı aac aiff wav sesli sesli kitap apple lossless
3 nesil ipod modelinin kontrolleri kulaklık kablosuna sahipti,karıştır
2007 nin temmuz ayında apple ın müzik mağazasıyla olan anlaşmasını şirket bitirdi,üniversal müzik grubu
itunes wi fi mağazasının başlatıldığı etkinliğin adı neydi,beat devam ediyor
gizli özelliği anlamı başka ifade nedir,paskalya yumurtası
2005 yılında şirket apple a müzik kutusu patenti ihlali dava açtı,gelişmiş ses cihazları
rakip apple a yazılım kullanıcı arayüzünün kısmının hakları konusunda dava açtı,yaratıcı teknoloji
creative kuruluştan apple ın cihazlarını abd ye aktarmasıyla ilgili soruşturma talep etti,amerika birleşik devletleri uluslararası ticaret komisyonu
rakip şirket apple ı 2005 2006 yıllarında dava açtı,yaratıcı teknoloji
apple anlaşmalarının sonucu creative para ödemek zorunda kaldı,100 milyon dolar
creative ipod çevre birimlerini oluşturmak programa katıldı,ipod üretilmiştir
apple 2006 davalarını çözmek creative technologies e ödedi,100 milyon dolar
2007 apple ın pazar payını bildirdi,bloomberg çevrimiçi
hp nin ipod pazarından ayrılmasına olan şartlar koşullar tür,olumsuz
apple 2007 nin 2 çeyreği gelir açıkladı,5 2 milyar dolar
apple ın 2007 nin 3 çeyreği geliri neydi,6 22 milyar dolar
apple 2007 para kazandı,3 5 milyar dolar
2007 nin sonunda apple ın nakit varlıklarının değeri neydi,15 4 milyar dolar
güçlü ipod satışlarının yardımıyla 2007 kar sağladılar,3 5 milyar dolar
apple ın 2008 yılı çeyreği itibariyle üç aylık en yüksek kârı neydi,1 58 milyar dolar
yayın sektöründe devrim ipod ları övdü,pc dünyası
pc dergisi ipod u taşınabilir ses çalarlar manzarayı değiştirdiği övdü,pc dünyası
eğitiminin parçası ipod ları kullanan şirketin adı nedir,kraliyet batı i nfirmarileri
yayın ipod u insanların taşınabilir oynatıcıda binlerce şarkıyı dinlemelerini sağladığı överdi,haftalık eğlence
dergi ipod u 00 on yılın en i yileri listesine yerleştirdi,haftalık eğlence
ipod müzik periyodunu kapatmaya yardımcı oldu,albüm dönemi
ipod müzik endüstrisinde büyük değişikliğe olan neyi tanıttı,dijital müzik depolama
ipod itunes single toplama kolaylığı pop müzik dönemi sona erdirmek yatırılır,albüm dönemi
ipod pilleri etkileşim kurmak kimin yönergeleri takip edilebilir,üçüncü taraf satıcılar
apple ipod pilleri çalışmadığında tüketicilere ilk satın almalarını söyledi,yenilenmiş yedek ipod
ipod nano pilini değiştirmek neye ihtiyaç duyulmuştu,lehim aletleri
ipod sahipleri zaman ipod ekranının kırılganlığı ilgili sorun aldı,2005 yılı sonları
yayın ipod emeğinin çalışma koşulları hakkında bilgi ortaya çıkardı,pazar günü posta
apple çalışma politikalarını izlemek kuruluşa katıldı,elektronik sanayi davranış kuralları uygulama grubu
abd nin özelliği uluslararası az yurtiçi istihdam fırsatlarına yol açtığı düşünülebilirdi,yenilik
hikaye hikaye alternatif gerçekleşir,rüzgar waker
alacakaranlık prensesi kaç yılın oyunu ödülü aldı,
the legend of zelda alacakaranlık prensesi üç ana faaliyet nelerdir,dövüş keşif öğe toplama
alacakaranlık prenses kontrol kurulumunu ilk önceki oyunda kullanılan kullanır,zamanın ocarina
alacakaranlık prenses oyunda tanıtılan kontrol şemasını izler,zamanın ocarina
link savaşta 2 ana silahı kullanır,kılıç kalkan
link hareket etmiyorsa taşıdığı mermiyi nereye koyacak,yere
link alacakaranlık diyarı nda biçim alıyor,kurt
link alacakaranlık diyarı na girdiğinde neye dönüşüyor,kurt
midna,küçük imp benzeri yaratık
düşmanları alacakaranlık prensesi dekinden ilkel programlama olan oyun nedir,rüzgar waker
link in tepkisi ruh hali aracılığıyla fark edilebilir,nods yüz ifadeleri
link duyguları ifade eder,nods yüz ifadeleri
ganondorf neyi eziyor,midna nın miğferi
midna neyi eder,alacakaranlık aynası
zaman ocarina uygulanamayan özellik neydi,at sırtında savaş
ocarina of time yapılmamış olan belirli oyun alanı neydi,at sırtında savaş
at binme atlarını inandırıcı şekilde uygulamak sürdü,dört
nintendo ata binme özelliğinin önizlemesini nerede yaptı,elektronik eğlence fuarı 2004
i kinci rüzgar waker oyununun adı neydi,hayalet kum saati
aonuma alacakaranlık prensesi geliştirme ekibinden ayrıldı oyun üzerinde çalışmak,minish şapkası
link in ok çekim yeteneği cihaz uygun görünüyordu,wii uzaktan kumanda
oyun içi okçuluk tür arayüz kullanıldı,işaretleme tabanlı
alacakaranlık prensesi nde kılıçla tür hareket birleşti,sallanan jest
2005 yılının aralık ayında oyunun kontrolleri hakkında bilgi verdi,ngc dergisi
dergi oyuncuların devrim kontrolörünü kullanabileceğini belirtti,ngc dergisi
kondo dan oyun boyunca orkestra müziği kullanması talepleri yaptı,medya
elf anlama geliyor,çalıştırılabilir bağlanabilir biçim
yeniden düzenlenmiş oyunun adı nedir,zelda efsanesi alacakaranlık prenses hd
alacakaranlık prensesi nin resepsiyonu neydi,evrensel kritik beğeni
en i yi grafik en i yi hikaye dalında alacakaranlık prensesi ödüllerini 2 eleştirmen verdi,ign nintendo güç
kuzey orta güney amerika bulunmayan çoğu ülkeyi içeren bölgenin adı nedir,dostum
iki film stüdyosu james bond filmi spectre dağıttı,metro goldwyn mayer columbia resimleri
spectre aslen filmde yer alıyordu,elmaslar sonsuza
spectre ın ilk gösterimi neredeydi,royal albert hall in londra
spectre iki övgünün konusu neydi,aksiyon dizileri sinematografi
spectre kategoride altın küre ödülü aldı,en i yi özgün şarkı
james bond filmi spectre tema şarkısı neydi,yazılar duvarda
bond marco sciarra dan alıyor,yüzüğü
white ın kızı,doktor madeline swann
spectre aslında anlama gelmişti,karşı i stihbarat terörizm i ntikam haraç özel yönetici
film thunderball un modern versiyonuydu,asla asla söylemek
thunderball un yapılmamış yeniden yapım önerisinin adı neydi,savaş başlığı m s 2000
thunderball un yeniden çekiminin adı neydi,asla asla söylemek
bond romanı ilk spectre özellikli,yıldırım topu
şirket şirket bilgi sızıntıları tarafından hedef alındı,sony pictures eğlence
kuantum organizasyonu ilk filmde tanıtıldı,teselli kuantum
spectre ian fleming in kısa öyküsünden ilham alan yerin adı nedir,hildebrand nadir antikalar
the hildebrand rarity kısa hikaye koleksiyonundan,gözleriniz i çin
mi6 güvenli evinin adı nedir,hildebrand nadir antikalar
bay white ın aslında filmde ölmesi gerekiyordu,teselli kuantum
i lk filmde bay white karakterini öldürmek planlandı,teselli kuantum
spectre ı filme almak kullanılan üç site neydi,londra meksiko roma
spectre avusturya üretime zaman başladı,aralık 2014
spectre filme kullanılan roma iki simge nelerdir,ponte sisto köprüsü roma forumu
i ngiltere roma yeri temsil eden sahneler nerede çekildi,blenheim sarayı in oxfordshire
roma köprü çekim yeriydi,ponte sisto köprüsü
meksika çekilen sahnelere festival dahil edildi,ölüler günü festivali
uçuş sahneleri tür helikopter kullanıldı,messerschmitt bölkow blohm bo 105 helikopter
çekim köprüler kapatıldı,westminster lambeth köprüleri
mi6 temelli nerede,vauxhall haçı
çekimler londra iki köprü kapalı,westminster lambeth köprüleri
ralph fiennes in restaurantta çekilen sahneleri neredeydi,covent bahçesi
filmlerde fas ta üç yer kullanıldı,oujda tanca erfoud
filmin mexico city bölümünde para olası değişiklikler prodüksiyonu kurtarmış olduğu söyleniyor,20 milyon dolar
spectre film müziğini şirket yayınladı,decca kayıtlar
film müziği albümü plak şirketiydi,decca kayıtlar
açılış kredileri sırasında çalınan şarkının adı neydi,yazılar duvarda
gerçek filmde temanın versiyonu kullanıldı,gösteri
spectre oyuncuları komedi yapımında ortaya çıktı,çizgi roman rölyef kırmızı burun günü
oyuncuların mürettebatın üyesi mart 2015 te şovda yer aldı,çizgi roman rölyef kırmızı burun günü
oyuncular mürettebat komedi taslağını yazdı,david walliams dawson kardeşler
spectre ın ilk gösterisi nerede yapıldı,albert kraliyet salonu
filmin açılışı spectre rekabet etmesin diye değiştirildi,görev i mkansız rogue nation
spectre 21 2016 yılına i ngiliz i skoç i rlanda pazarından gelir elde etti,138 1 milyon dolar
spectre ilk haftasında kazanmıştı,41 7 milyon tl 63 8 milyon dolar
film ilk yedi gün en yüksek kazanç elde etti,harry potter azkaban tutsağı
film en yüksek ilk hafta açılış brüt i ngiltere rekoru düzenledi,harry potter azkaban tutsağı
spectre ekran başına en büyük açılış ortalamasına sahip olmak filmi geçti,kara şövalye
paris te film spectre dan fazla bilet gelir elde etti,örümcek adam 3
paris te spectre den yüksek bilet satışı olan tek film nedir,örümcek adam 3
spectre çin brüt açılış gününde ikinci oldu filmin arkasında,görev i mkansız rogue nation
cinemascore filmde girdi istedi,kitleler
yazar yayın filmi puan 7 2 10,i gn
guardian dan mark kermode spectre yi piyasaya sürülmeden kaç yıldız fark etti,beş kişiden dördü
charlotte observer dan lawrence toppman ın film kullandığı cümle neydi,sıkıldım james sıkıldım
whic organizasyon hindistan film içeriğini filtrelemekten sorumludur,hindistan merkez film sertifikası kurulu
zaman spectre devamı geliştirme olmak olacak,2016 bahar
depremin adı neydi,büyük sichuan depremi
depremin merkez üssü neredeydi,wenchuan ili sichuan
merkez üssü neredeydi,wenchuan county ngawa tibet qiang özerk bölgesi
deprem arıza meydana geldi,longmenshan hatası
longmenshan hatası nerede,hint avustralya plakası avrasya plakası sınırı boyunca
deprem fay hattında oldu,longmenshan hatası
rapor hakkında uyardı,ngawa vilayetinde önemli deprem
sismoloji bürosu ndan yetkili almayı reddetti,depremi öngören raporlar
gelecekteki deprem olasılığı nerede arttı,kuzeydoğu güneybatı uçları
hanshin depreminde kaç kişi öldü,6 000 kişi
sismik dalgalar uzağa gitti,arazinin sağlamlığı
kaç artçı şok vardı,64 104 arasında
artçı şoklar zaman kaydedildi,ana deprem 72 saat içinde
en son 6 büyüklüğünde artçı şok zaman meydana geldi,5 ağustos 2008 tarihinde
72 saat içinde kaç artçı şok oldu,64 104 arasında
seriye dahil edilmedi,çünkü farklı arıza oldu
ölçeklenen yoğunluk neydi,xi
havaalanını kullanıyorlardı,kabartma işlemleri
sonuç kargo treni nerede raydan çıktı,hui ili gansu
kargo trenine oldu,ateşe yakalandı
kargo treni nerede raydan çıkmıştı,hui ili gansu
wenchuan a giden kaç otoyol hasar gördü,karayolları
wenchuan a otoyollar hasar gördü,karayolları
hasarlı yollar kurtarma operasyonlarına sebep oldu,gecikmeli varış
borsalar nerede dayanıyordu,güneybatı çin
doğal kaynak değeri düştü,sıvı yağ
şangay borsası yaptı,askıya alım satım
hisse senedi ticaretini askıya alan şirketler neredeydi,güneybatı çin
